Properties,Scaleunit,Average value
Stacking energy,kcal/mol,1.7999999999999998
Enthalpy,kcal/mol,6.044444444444444
Entropy,cal/mol/K,16.62222222222222
Flexibility_shift,kJ mol^-1 A^-2,2.53
Flexibility_slide,kJ mol^-1 A^-2,9.663333333333334
Free energy,kcal/mol,0.6555555555555554
Melting Temperature,degree,48.00222222222222
Mobility to bend towards major groove,mu,1.097777777777778
Mobility to bend towards minor groove,mu,1.0333333333333334
Probability contacting nucleosome core,%,6.755555555555556
Rise stiffness,kcal/mol angstroem,7.807777777777779
Roll stiffness,kcal/mol degree,19.333333333333332
Shift stiffness,kcal/mol angstroem,0.8922222222222221
Slide stiffness,kcal/mol angstroem,2.6611111111111114
Tilt stiffness,kcal/mol degree,28.0
Twist stiffness,kcal/mol degree,25.88888888888889
